id,data,model,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57
haiku4.5-20260624-011,2026-06-24 17:50:10,haiku 4.5,4,3,2,5,5,1,3,5,2,3,5,2,4,5,4,4,3,2,5,2,5,5,4,2,5,4,5,2,1,4,4,4,2,5,3,3,5,4,4,2,2,4,3,2,5,3,5,3,2,3,5,5,4,4,5,5,5
haiku4.5-20260624-012,2026-06-24 17:50:22,haiku 4.5,5,4,3,2,5,1,2,5,3,4,5,2,5,6,4,5,3,3,5,2,5,2,5,3,5,4,5,4,1,5,4,4,2,5,4,3,5,4,5,2,1,5,4,1,5,3,5,3,3,4,2,5,4,4,5,5,5
haiku4.5-20260624-013,2026-06-24 17:50:33,haiku 4.5,5,4,2,3,6,1,4,5,2,3,6,1,5,6,4,5,3,3,5,1,5,3,5,2,6,4,5,2,1,5,5,3,2,6,4,2,6,4,5,2,1,5,3,1,5,2,5,3,2,4,5,6,4,4,5,5,6
haiku4.5-20260624-014,2026-06-24 17:50:44,haiku 4.5,4,3,2,5,5,1,4,5,2,3,5,1,2,6,5,4,2,2,5,1,5,5,5,3,6,4,5,2,1,4,5,3,2,6,3,2,6,5,6,2,1,5,3,1,5,2,5,3,2,3,5,6,4,5,5,5,6
haiku4.5-20260624-015,2026-06-24 17:50:53,haiku 4.5,5,2,3,4,5,1,3,5,2,3,5,1,4,5,4,5,2,2,5,1,5,4,5,3,5,4,5,2,1,5,5,4,2,5,3,3,5,4,5,2,1,5,3,1,5,3,4,2,2,3,4,5,4,4,5,5,5
haiku4.5-20260624-016,2026-06-24 17:51:03,haiku 4.5,5,2,3,4,5,1,3,5,2,3,5,1,4,6,5,5,3,2,4,1,5,4,5,2,6,4,5,2,1,5,6,4,2,6,4,3,6,4,6,2,1,6,4,1,5,3,5,3,2,3,5,6,4,4,5,5,6
haiku4.5-20260624-017,2026-06-24 17:51:12,haiku 4.5,5,2,2,6,5,1,6,4,2,3,4,1,5,6,5,5,2,2,5,1,4,6,5,3,4,5,5,2,1,5,6,3,2,6,3,2,6,6,5,2,1,6,2,1,5,2,4,2,2,3,6,6,5,6,5,5,6
haiku4.5-20260624-018,2026-06-24 17:51:21,haiku 4.5,5,3,2,6,5,1,5,4,2,3,4,1,3,6,5,5,2,2,4,1,4,6,5,2,5,5,4,2,1,5,5,3,2,6,3,2,6,5,5,2,1,5,2,1,4,2,4,2,2,3,6,6,4,4,4,5,6
haiku4.5-20260624-019,2026-06-24 17:51:30,haiku 4.5,6,4,2,5,5,1,4,5,2,3,5,1,4,6,4,6,2,2,5,1,5,5,6,2,5,4,5,2,1,6,5,3,2,6,4,2,6,4,6,2,1,5,2,1,5,2,5,2,3,4,5,6,3,4,5,6,6
haiku4.5-20260624-020,2026-06-24 17:52:01,haiku 4.5,5,3,1,6,4,1,6,3,1,2,2,1,6,5,6,5,2,2,4,1,3,6,5,2,3,6,4,2,1,5,6,2,1,5,1,1,5,5,5,2,1,6,2,1,4,1,2,2,1,1,6,5,6,4,4,5,5
haiku4.5-20260624-021,2026-06-24 17:52:13,haiku 4.5,5,4,3,5,6,1,5,6,4,3,6,2,5,6,4,5,3,3,5,1,5,5,6,3,6,4,5,2,1,5,4,3,2,6,4,2,6,5,6,3,1,5,3,1,6,2,5,3,4,4,5,6,4,5,5,6,6
haiku4.5-20260624-022,2026-06-24 17:52:25,haiku 4.5,6,5,3,4,6,1,4,6,3,3,6,2,4,6,4,6,4,3,6,2,6,5,6,3,6,4,6,3,1,6,5,5,3,6,4,3,6,5,6,3,1,5,4,1,6,4,5,4,3,5,5,6,4,5,6,6,6
haiku4.5-20260624-023,2026-06-24 17:52:35,haiku 4.5,5,4,3,5,6,1,4,6,3,2,6,1,5,6,5,5,2,3,6,1,6,5,6,2,6,4,6,2,1,5,5,3,2,6,4,2,6,5,6,2,1,5,3,1,6,3,6,2,3,4,5,6,4,5,6,5,6
haiku4.5-20260624-024,2026-06-24 17:52:48,haiku 4.5,5,4,4,6,5,1,6,5,3,3,4,2,4,6,5,5,3,3,5,2,5,6,5,3,6,5,5,2,1,5,5,4,2,6,4,3,6,5,5,3,1,5,3,1,6,3,4,3,5,4,6,6,5,5,5,6,6
haiku4.5-20260624-025,2026-06-24 17:52:56,haiku 4.5,5,3,2,6,5,1,6,4,2,2,4,1,4,6,5,5,2,2,4,1,4,6,5,2,4,3,4,2,1,5,6,3,2,6,3,1,6,6,5,2,1,5,2,1,5,1,3,2,2,2,6,6,4,5,4,5,6
haiku4.5-20260624-026,2026-06-24 17:53:33,haiku 4.5,5,4,3,2,5,1,2,5,3,2,5,1,4,6,4,5,2,2,5,1,5,2,5,2,6,4,5,2,1,5,4,2,1,6,3,3,5,4,5,2,1,4,3,1,5,3,5,2,3,3,2,6,4,3,5,5,6
haiku4.5-20260624-027,2026-06-24 17:53:44,haiku 4.5,5,3,4,5,6,1,5,5,4,3,6,2,4,6,5,5,3,3,5,1,5,5,5,3,6,4,5,2,1,5,5,4,2,6,4,3,6,5,6,3,1,6,3,1,5,4,6,4,4,4,5,6,4,5,6,6,6
haiku4.5-20260624-028,2026-06-24 17:53:55,haiku 4.5,5,4,3,4,5,1,4,5,3,2,5,2,4,5,4,5,3,3,5,2,5,4,5,3,5,4,5,3,1,5,5,4,2,5,4,3,5,4,5,3,1,5,3,1,5,3,5,3,4,4,4,5,4,4,5,5,5
haiku4.5-20260624-029,2026-06-24 17:54:10,haiku 4.5,5,3,4,5,6,1,5,6,4,3,6,2,4,6,4,6,3,3,5,2,5,5,6,3,6,4,6,2,1,6,5,4,2,6,3,3,6,4,6,2,1,5,3,1,6,3,5,3,4,3,5,6,4,4,5,6,6
haiku4.5-20260624-030,2026-06-24 17:54:23,haiku 4.5,5,3,2,6,6,1,6,5,4,2,6,1,4,6,5,5,2,3,5,1,5,6,5,2,6,4,6,2,1,5,6,3,2,6,3,2,6,6,5,2,1,6,3,1,5,2,5,3,3,3,6,6,4,5,6,6,6
haiku4.5-20260624-031,2026-06-24 17:54:34,haiku 4.5,5,4,3,5,6,1,5,6,3,2,6,2,4,6,4,6,3,3,6,2,6,5,6,2,6,4,6,2,1,6,5,4,3,6,4,2,6,5,6,3,1,5,3,2,6,3,6,4,3,4,5,6,4,5,6,6,6
haiku4.5-20260624-032,2026-06-24 17:54:47,haiku 4.5,5,3,2,4,6,1,3,5,2,2,5,1,4,6,5,5,2,2,4,1,5,4,5,2,6,3,5,2,1,5,5,3,2,6,4,2,6,4,5,2,1,5,2,1,5,2,5,3,3,3,4,6,4,3,5,5,6
haiku4.5-20260624-033,2026-06-24 17:55:00,haiku 4.5,5,4,3,6,5,1,6,6,2,3,6,1,4,6,5,5,2,3,6,1,6,6,5,3,6,5,6,2,1,5,6,4,2,6,4,3,6,6,5,2,1,6,3,1,6,3,5,2,2,4,6,6,5,5,6,5,6
haiku4.5-20260624-034,2026-06-24 17:55:12,haiku 4.5,6,4,5,3,6,1,3,6,4,5,6,2,5,6,4,6,4,3,6,2,6,2,6,3,6,5,6,3,1,6,5,5,2,6,4,4,6,4,6,3,1,6,5,2,6,4,6,4,4,4,2,6,4,4,6,6,6
haiku4.5-20260624-035,2026-06-24 17:55:21,haiku 4.5,5,4,4,3,6,1,4,6,4,3,6,2,5,6,3,5,3,2,6,2,5,4,5,3,6,5,6,2,1,5,5,4,2,6,4,3,6,5,5,2,1,5,3,2,6,3,6,4,4,4,4,6,4,4,6,5,6
haiku4.5-20260624-036,2026-06-24 17:55:32,haiku 4.5,5,3,4,2,6,1,3,6,2,4,6,1,5,6,4,6,2,3,5,1,5,2,6,3,6,4,5,3,1,6,5,4,2,6,4,3,6,4,6,3,1,5,4,1,6,3,6,3,2,4,1,6,4,4,5,6,6
haiku4.5-20260624-037,2026-06-24 17:55:42,haiku 4.5,4,3,3,5,5,1,5,5,4,3,5,2,4,5,4,5,2,2,5,1,5,5,5,2,5,4,5,2,1,5,5,3,2,5,3,2,5,4,5,2,1,5,3,1,5,2,5,3,4,3,5,5,4,4,5,5,5
haiku4.5-20260624-038,2026-06-24 17:55:52,haiku 4.5,5,3,2,6,5,1,4,5,3,2,5,2,4,6,4,5,3,2,6,1,5,6,5,2,6,4,6,2,1,5,5,4,2,6,3,2,6,5,5,2,1,5,3,1,5,3,6,3,3,3,6,6,4,5,6,5,6
haiku4.5-20260624-039,2026-06-24 17:56:02,haiku 4.5,5,3,4,5,6,1,5,6,4,3,6,2,5,6,4,5,2,2,5,2,6,5,6,3,6,5,6,3,1,5,5,4,2,6,4,4,6,5,6,2,1,5,3,1,6,4,6,3,4,4,5,6,4,5,6,5,6
haiku4.5-20260624-040,2026-06-24 17:56:11,haiku 4.5,5,4,3,5,6,1,5,6,4,2,5,2,4,6,4,5,3,3,5,2,5,5,6,3,6,4,5,3,1,5,5,4,2,6,4,3,6,5,6,2,1,5,2,1,6,3,5,2,4,4,5,6,4,4,5,5,6
haiku4.5-20260624-041,2026-06-24 17:56:20,haiku 4.5,5,4,3,5,6,1,4,5,3,2,4,1,4,6,4,5,2,2,5,1,5,5,5,2,6,4,5,2,1,5,4,3,2,6,4,3,6,4,5,2,1,5,3,1,5,3,5,2,3,4,5,6,4,4,5,5,6
haiku4.5-20260624-042,2026-06-24 17:57:02,haiku 4.5,5,3,2,6,5,1,5,4,4,2,4,2,3,6,5,5,2,3,5,1,4,6,5,3,5,4,5,2,1,5,5,3,2,6,3,2,6,5,5,2,1,5,3,1,5,2,4,2,4,3,6,6,4,5,5,5,6
haiku4.5-20260624-043,2026-06-24 17:57:14,haiku 4.5,5,3,2,6,5,1,5,4,4,2,4,2,3,6,5,5,2,3,5,1,4,6,5,3,5,4,5,2,1,5,5,3,2,6,3,2,6,5,5,2,1,5,3,1,5,2,4,2,4,3,6,6,4,5,5,5,6
haiku4.5-20260624-044,2026-06-24 17:57:25,haiku 4.5,5,3,2,4,6,1,3,5,2,3,6,1,5,6,4,5,2,2,5,1,5,4,5,2,6,5,5,3,1,5,4,3,2,6,4,2,6,4,5,2,1,5,3,1,5,2,5,2,2,3,4,6,4,3,5,5,6
haiku4.5-20260624-045,2026-06-24 17:57:36,haiku 4.5,5,3,4,4,6,1,4,5,3,3,6,2,4,6,5,5,3,3,5,2,5,4,5,3,6,4,6,2,1,5,5,4,2,6,4,3,6,5,5,3,1,5,3,2,6,3,6,3,3,4,4,6,4,5,6,5,6
haiku4.5-20260624-046,2026-06-24 17:57:46,haiku 4.5,5,3,4,5,5,1,5,5,4,4,5,2,3,6,4,5,3,2,5,1,5,5,5,3,5,4,5,3,1,5,5,3,2,6,4,4,5,5,5,2,1,5,4,1,5,4,5,3,4,4,5,5,4,5,5,5,6
haiku4.5-20260624-047,2026-06-24 17:57:58,haiku 4.5,5,4,3,6,6,1,6,5,4,2,5,2,4,6,5,5,3,3,6,1,5,6,5,3,6,5,6,2,1,5,6,4,2,6,4,2,6,6,6,3,1,6,3,1,5,2,5,2,5,4,6,6,4,4,6,5,6
haiku4.5-20260624-048,2026-06-24 17:58:08,haiku 4.5,5,4,2,6,6,1,4,5,3,2,5,1,3,6,5,4,2,3,5,1,5,6,5,2,6,5,5,2,1,5,6,4,2,6,4,2,6,5,6,3,1,6,3,1,5,3,6,2,3,4,6,6,4,5,6,5,6
haiku4.5-20260624-049,2026-06-24 17:58:19,haiku 4.5,5,3,2,4,6,1,5,5,3,2,6,1,4,6,4,6,2,2,5,1,5,4,6,2,6,3,5,2,1,6,5,4,2,6,3,2,6,4,6,2,1,5,3,1,5,2,5,3,3,3,4,6,3,3,5,5,6
haiku4.5-20260624-050,2026-06-24 17:58:31,haiku 4.5,5,4,4,5,6,1,4,5,5,4,6,2,5,6,4,6,3,2,5,2,5,5,6,3,6,5,6,3,1,6,5,4,2,6,4,3,6,5,6,2,1,5,4,1,6,4,5,4,5,4,5,6,4,5,6,6,6
haiku4.5-20260624-051,2026-06-24 17:58:43,haiku 4.5,5,3,2,6,6,1,6,6,5,3,6,1,5,6,5,6,3,2,6,1,6,6,6,2,6,5,6,2,1,6,6,3,2,6,3,2,6,6,6,2,1,6,3,1,6,2,6,3,5,3,6,6,5,6,6,6,6
haiku4.5-20260624-052,2026-06-24 17:58:53,haiku 4.5,5,3,2,4,5,1,3,5,2,3,5,1,4,5,4,5,3,3,5,1,5,4,5,2,5,4,5,2,1,5,4,4,2,5,3,2,5,4,5,2,1,4,2,1,5,2,5,3,3,3,4,5,3,4,5,5,5
haiku4.5-20260624-053,2026-06-24 17:59:02,haiku 4.5,6,4,3,5,6,1,2,6,2,3,6,1,5,6,4,6,2,3,6,1,5,1,6,2,6,5,6,2,1,6,5,3,1,6,4,2,6,4,6,2,1,5,3,1,6,2,6,3,1,4,1,6,3,5,6,6,6
haiku4.5-20260624-054,2026-06-24 17:59:11,haiku 4.5,5,4,2,6,6,1,5,6,3,2,6,2,4,6,5,5,3,3,6,1,6,6,5,2,6,4,6,2,1,5,6,4,2,6,4,2,6,6,5,3,1,6,3,1,6,3,6,2,3,4,6,6,4,5,6,6,6
haiku4.5-20260624-055,2026-06-24 17:59:20,haiku 4.5,5,3,4,3,6,1,3,5,4,4,5,2,4,5,4,5,3,2,4,2,4,4,5,3,5,4,4,3,2,5,4,4,2,5,3,3,5,4,5,2,1,4,3,1,5,3,5,3,4,3,4,5,4,4,5,5,5
haiku4.5-20260624-056,2026-06-24 17:59:30,haiku 4.5,5,3,4,5,6,1,5,6,4,4,6,1,5,6,5,6,3,3,5,1,5,5,6,3,6,5,5,3,1,6,5,4,3,6,4,4,6,5,6,4,1,5,4,2,6,4,6,3,4,4,5,6,4,5,6,6,6
haiku4.5-20260624-057,2026-06-24 17:59:38,haiku 4.5,5,3,4,4,6,1,4,5,4,3,6,2,5,6,4,5,2,3,6,2,5,4,5,3,6,4,6,3,1,5,5,3,3,6,4,4,6,5,5,3,1,5,3,2,6,4,5,3,4,4,5,6,4,5,6,6,6
haiku4.5-20260624-058,2026-06-24 18:00:15,haiku 4.5,5,3,4,4,6,1,4,5,4,3,6,2,5,6,4,5,2,3,6,2,5,4,5,3,6,4,6,3,1,5,5,3,3,6,4,4,6,5,5,3,1,5,3,2,6,4,5,3,4,4,5,6,4,5,6,6,6
haiku4.5-20260624-059,2026-06-24 18:00:31,haiku 4.5,5,3,2,4,5,1,4,5,3,2,5,1,3,6,5,4,2,2,5,1,5,4,5,2,5,3,5,2,1,4,5,3,1,6,3,2,6,5,5,2,1,5,3,1,5,2,4,3,3,3,4,6,4,5,5,5,6
haiku4.5-20260624-060,2026-06-24 18:00:42,haiku 4.5,5,3,2,4,6,1,3,6,2,2,6,1,2,6,5,5,2,3,5,1,6,4,5,2,6,3,5,2,1,5,5,3,2,5,3,2,6,4,5,2,1,5,3,1,6,2,5,2,3,3,4,6,4,4,5,6,6
